,mainVariableName,sub0,sub1,sub2
1078,3,2,5,0
1079,3,1,7,7
1080,1,2,2,0
1081,1,0,5,6
1082,1,7,4,0
1083,4,7,6,3
1084,4,7,9,0
1085,4,3,9,1
1086,5,1,8,7
1087,5,5,8,5
1088,5,3,7,6
1089,0,0,5,3
1090,0,9,3,8
1091,0,8,3,8
1092,3,2,9,7
1093,3,8,9,7
1094,3,0,10,0
1095,3,3,9,3
1096,3,8,2,8
1097,3,0,9,9
1098,0,8,3,8
1099,0,0,7,8
1100,0,2,2,5
1101,5,5,0,7
1102,5,4,2,7
1103,5,2,4,3
1104,4,6,7,1
1105,4,3,5,5
1106,4,3,9,7
1107,0,8,8,1
1108,0,2,8,9
1109,0,5,4,9
1110,4,3,0,1
1111,4,3,8,0
1112,4,8,9,6
1113,1,2,10,2
1114,1,3,0,4
1115,1,3,9,9
1116,5,1,7,4
1117,5,2,0,6
1118,5,4,4,2
1119,3,5,3,0
1120,3,0,9,0
1121,3,0,6,1
1122,1,4,2,10
1123,1,0,8,2
1124,1,8,3,2
1125,1,7,5,3
1126,1,2,8,3
1127,1,1,1,4
1128,5,8,4,7
1129,5,1,7,7
1130,5,2,1,6
1131,1,4,9,2
1132,1,3,2,6
1133,1,8,9,5
1134,0,2,1,9
1135,0,8,4,2
1136,0,5,4,8
1137,1,7,8,8
1138,1,4,2,4
1139,1,4,7,4
1140,1,4,8,0
1141,1,8,3,10
1142,1,7,8,4
1143,1,10,5,4
1144,1,8,3,3
1145,1,5,0,9
1146,4,3,0,5
1147,4,7,7,7
1148,4,3,9,7
1149,0,2,4,8
1150,0,7,8,4
1151,0,3,4,9
1152,1,6,4,7
1153,1,0,1,2
1154,1,0,0,2
1155,3,0,1,1
1156,3,3,9,2
1157,3,0,9,3
1158,1,2,6,7
1159,1,7,6,8
1160,1,1,3,9
1161,1,1,0,3
1162,1,5,0,7
1163,1,4,3,9
1164,1,0,6,0
1165,1,10,1,3
1166,1,2,5,9
1167,3,2,9,7
1168,3,2,9,7
1169,3,0,9,6
1170,1,10,2,7
1171,1,8,4,7
1172,1,5,3,4
1173,1,3,2,1
1174,1,2,3,6
1175,1,10,7,8
1176,1,2,2,4
1177,1,8,8,5
1178,1,2,2,10
1179,5,1,1,6
1180,5,8,7,3
1181,5,4,7,3
1182,2,3,1,8
1183,2,0,1,1
1184,2,5,7,6
1185,0,2,1,8
1186,0,8,4,9
1187,0,8,4,9
1188,3,0,7,2
1189,3,2,9,6
1190,3,9,9,6
1191,0,4,7,7
1192,0,8,7,10
1193,0,8,2,6
1194,3,3,9,4
1195,3,7,6,7
1196,3,8,6,7
1197,0,9,6,7
1198,0,8,6,7
1199,0,5,9,0
1200,2,2,4,6
1201,2,7,7,9
1202,2,8,9,2
1203,5,7,5,7
1204,5,1,7,3
1205,5,8,8,6
1206,3,2,6,1
1207,3,2,5,7
1208,3,8,9,8
1209,3,2,9,1
1210,3,0,2,3
1211,3,6,6,2
1212,1,3,2,0
1213,1,9,9,6
1214,1,9,7,6
1215,2,3,9,2
1216,2,10,1,9
1217,2,10,0,4
1218,0,5,4,5
1219,0,3,4,10
1220,0,8,4,6
1221,2,2,0,8
1222,2,9,0,0
1223,2,4,0,4
1224,1,4,0,5
1225,1,0,7,0
1226,1,0,7,0
1227,2,3,7,3
1228,2,4,9,1
1229,2,9,7,1
1230,0,5,4,2
1231,0,4,3,7
1232,0,5,7,10
1233,2,8,7,8
1234,2,4,8,5
1235,2,6,9,0
1236,2,2,8,5
1237,2,7,7,5
1238,2,6,8,1
1239,2,6,8,5
1240,2,4,9,9
1241,2,9,9,0
1242,2,8,10,7
1243,2,4,6,5
1244,2,0,8,7
1245,2,8,8,9
1246,2,4,5,4
1247,2,0,9,9
1248,0,5,6,5
1249,0,2,7,3
1250,0,2,9,8
1251,0,1,7,8
1252,0,2,7,10
1253,0,3,7,9
1254,2,3,8,7
1255,2,4,1,0
1256,2,1,2,5
1257,2,4,8,9
1258,2,0,8,9
1259,2,0,10,8
1260,0,4,6,5
1261,0,3,5,8
1262,0,8,6,3
1263,4,7,8,6
1264,4,6,7,3
